Label,Region
1,ParSeed_L
2,BCrave1
3,BCrave2
4,ConnChg1
5,ConnChg2
6,ConnChg3
7,ConnChg4
8,ConnChg5
9,ConnChg6
10,CraveChg1
11,CraveChg2
12,CraveChg3
13,CraveChg4
14,CraveChg5
