Label,Region
1,Post_Insula_L
2,Post_Insula_R
3,Mid_Insula_L
4,Mid_Insula_R
5,Ant_Insula_L
6,Ant_Insula_R
7,BL_Amygdala_L
8,BL_Amygdala_R
9,CM_Amygdala_L
10,CM_Amygdala_R
11,Ant_TPJ_L
12,Ant_TPJ_R
