Label,Region
1,LMD
2,RMD
3,LLGN
4,RLGN
5,LMGN
6,RMGN
7,LPFC
8,RPFC
9,LICC
10,RICC
11,LHG
12,RHG
13,LFOrb
14,RFOrb
