Label,Region
1,DLPFC_L
2,DLPFC_R
3,ANTINS_L
4,ANTINS_R
5,DMN_PCC
6,DMN_MPFC
7,DMN_PAR_L
8,DMN_PAR_R
9,DMN_INFTEMP_L
10,DMN_INFTEMP_R
